noun,occurrences,εἰς_count,ἐκ_count,ἐν_count,διά_count
οὐρανός,149,24,56,69,
Χριστός,115,16,1,84,14
θεός,74,12,33,19,10
Ἰησοῦς,69,6,1,50,12
κύριος,60,1,,57,2
πίστις,58,2,25,14,17
κόσμος,54,20,13,21,
πνεῦμα,54,2,5,39,8
Ἱεροσόλυμα,50,36,2,12,
Ἰερουσαλήμ,43,29,1,13,
γῆ,42,23,11,7,1
νόμος,39,1,14,14,10
ἡμέρα,39,6,1,28,4
αἰών,39,38,1,,
πόλις,38,26,3,9,
ἄνθρωπος,36,9,13,9,5
πλοῖον,35,20,4,11,
φυλακή,30,12,1,17,
θάλασσα,29,16,2,10,1
ἔθνος,29,12,6,11,
οἰκία,29,16,1,12,
σάρξ,29,4,3,21,1
ὁδός,29,9,1,18,1
συναγωγή,28,9,1,18,
ζωή,27,22,1,3,1
Γαλιλαία,26,16,4,5,1
θάνατος,25,10,6,6,3
ἔργον,24,2,16,5,1
τόπος,24,11,,11,2
λόγος,22,2,,14,6
ἀγάπη,21,,1,17,3
μνημεῖον,20,10,6,4,
ἀλήθεια,20,3,3,14,
χείρ,20,9,5,1,5
δικαιοσύνη,19,9,,6,4
ὄρος,19,14,2,3,
δόξα,18,7,,9,2
ὕδωρ,18,3,5,7,3
Αἴγυπτος,17,7,5,5,
πῦρ,17,7,2,6,2
δύναμις,17,,2,15,
σῶμα,17,1,5,10,1
οἶκος,16,9,1,6,
ὄχλος,16,1,6,5,4
ὄνομα,16,3,,13,
φυλή,15,1,14,,
ἐκκλησία,15,1,1,12,1
κρίσις,15,6,,9,
παραβολή,14,,,13,1
Καφαρναούμ,14,12,,2,
σάββατον,14,1,,12,1
Ἀντιόχεια,14,10,,4,
πατήρ,14,2,5,5,2
σωτηρία,14,13,,1,
Δαμασκός,13,7,,6,
ἀγρός,13,5,2,6,
προφήτης,13,2,,4,7
στόμα,13,3,4,1,5
Ἰουδαία,13,4,2,7,
εἰρήνη,13,5,,8,
καρδία,12,1,7,4,
ναός,12,3,4,5,
ἑορτή,12,6,,6,
Ἔφεσος,12,6,,6,
Καισάρεια,11,10,,1,
ἐπίγνωσις,11,5,,6,
μαρτύριον,11,11,,,
ἀνάστασις,11,2,3,5,1
φῶς,11,4,,7,
αἷμα,11,2,1,7,1
ἀγορά,10,1,,9,
λαός,10,2,2,5,1
σκοτία,10,,,10,
Μακεδονία,10,8,,1,1
Ἰσραήλ,10,2,2,6,
περιτομή,10,2,6,2,
θέλημα,10,,2,1,7
καιρός,10,,,10,
ἐξουσία,10,,,10,
εὐαγγέλιον,10,2,1,4,3
πειρασμός,9,6,1,2,
νεφέλη,9,1,3,5,
σοφία,9,,,8,1
ἐπιστολή,9,,,3,6
γαστήρ,8,,,8,
πρόσωπον,8,4,1,3,
νύξ,8,,,3,5
τάχος,8,,,8,
συνέδριον,8,4,,4,
κοιλία,8,2,5,1,
ἀνήρ,8,2,3,2,1
φόβος,8,1,,7,
ὑπομονή,8,,,5,3
κώμη,8,8,,,
γυνή,8,,2,4,2
χάρις,7,,,6,1
θλῖψις,7,2,,4,1
γάμος,7,6,1,,
μέρος,7,1,5,1,
σκότος,7,1,2,4,
φωνή,7,,,7,
Δαυίδ,7,,4,2,1
ἁμαρτία,7,4,,1,2
Ἰόππη,7,4,,3,
ἄκανθα,7,4,3,,
διακονία,7,6,,1,
Φαρισαῖος,7,,6,,1
Ἀσία,7,2,,5,
ἀσθένεια,7,,1,5,1
Μωϋσῆς,6,2,1,1,2
Κόρινθος,6,2,,4,
Ῥώμη,6,3,,3,
ἀκροβυστία,6,,,5,1
μετάνοια,6,6,,,
τέλος,6,6,,,
ἄγγελος,6,2,,,4
ἀδελφός,6,3,,3,
πόλεμος,6,5,,1,
ἄφεσις,6,4,,2,
Βηθανία,6,3,,3,
ἀσκός,6,6,,,
προσευχή,6,2,,4,
παρεμβολή,6,6,,,
ἀρχή,6,,2,4,
γέεννα,6,5,,1,
γωνία,6,5,,1,
αἰτία,6,,,,6
Λαοδίκεια,6,1,1,4,
ἀπώλεια,6,6,,,
συνείδησις,6,,,2,4
υἱός,6,4,,2,
Λύστρα,5,2,,3,
ἔτος,5,1,2,,2
ἁγιασμός,5,2,,3,
μέτρον,5,1,1,3,
ἐπιθυμία,5,1,,4,
κεφαλή,5,5,,,
ἄβυσσος,5,3,2,,
γραφή,5,,,4,1
Ἠσαΐας,5,,,,5
δεῖπνον,5,,1,4,
βίβλος,5,,,5,
ψυχή,5,2,2,1,
παρρησία,5,,,5,
πραιτώριον,5,5,,,
ἀποκάλυψις,5,1,,3,1
μάχαιρα,5,,,5,
φίλημα,5,,,5,
Τρῳάς,5,3,,2,
κρίμα,5,4,,1,
ἐσθής,5,,,5,
ἀτιμία,4,3,,1,
περιποίησις,4,4,,,
τιμή,4,3,,1,
ὅραμα,4,,,3,1
ὀργή,4,3,,,1
γαζοφυλάκιον,4,3,,1,
Βηθλέεμ,4,1,,3,
ἔπαινος,4,4,,,
Θεσσαλονίκη,4,2,,2,
Ἰκόνιον,4,2,,2,
κόπος,4,,,4,
Βεελζεβούλ,4,,,4,
ὑπακοή,4,4,,,
μνῆμα,4,1,,3,
ῥάβδος,4,,,4,
γένος,4,,4,,
πραΰτης,4,,,4,
σπέρμα,4,2,2,,
χώρα,4,2,1,1,
ἐπαγγελία,4,,1,1,2
Ἰούδας,4,1,2,1,
χοῖρος,4,4,,,
ἀνάγκη,4,,2,2,
μεσουράνημα,3,,,3,
ᾅδης,3,2,,1,
ἀσέλγεια,3,1,,2,
ἁπλότης,3,,,3,
μνημόσυνον,3,3,,,
βιβλίον,3,1,,2,
βάτος,3,,1,2,
φάτνη,3,,,3,
Ναζαρέθ,3,2,1,,
ὑπερῷον,3,2,,1,
ἀγαλλίασις,3,,,3,
ὕψος,3,1,2,,
Σάρδεις,3,1,,2,
πλάνη,3,,2,1,
ἀπόστολος,3,1,,1,1
Θυάτειρα,3,1,,2,
πλεονεξία,3,,,3,
οἰκοδομή,3,3,,,
ἐντολή,3,,,,3
θυσιαστήριον,3,,1,2,
ὑπάντησις,3,3,,,
Ταρσός,3,2,,1,
