41001001	4-3 6-5 7-6 9-7 11-9 
41001002	4-0 2-2 9-6 7-7 5-8 9-10 17-13 11-14 16-17 9-20 11-22 2-24 19-29 4-31 17-32 18-34 20-35 14-37 
41001003	7-1 5-3 15-5 3-8 15-9 13-12 8-13 10-14 13-16 15-21 
41001004	0-0 3-1 8-2 8-6 5-10 12-12 8-14 3-16 16-35 
41001005	1-1 5-2 7-4 12-5 8-7 12-10 26-17 17-23 23-27 
41001006	1-0 10-2 7-9 5-11 14-13 12-17 14-21 14-23 18-28 4-29 21-30 
41001007	1-0 22-3 22-4 8-6 22-8 18-11 11-17 12-20 18-21 20-22 9-24 12-27 17-35 7-37 
41001008	0-0 3-1 9-2 10-3 5-5 6-6 7-7 8-8 9-10 10-11 14-13 14-14 
41001009	0-1 14-2 3-3 6-7 8-10 13-15 11-17 14-18 16-21 
41001010	22-1 8-4 10-11 11-13 19-18 19-19 2-24 24-25 24-26 10-29 25-34 
41001011	5-2 1-3 12-7 6-8 10-9 13-11 13-12 12-14 8-18 1-19 6-23 
41001012	4-2 1-5 1-6 4-9 8-13 
41001013	25-1 3-3 5-5 24-7 24-9 6-12 7-13 11-15 13-18 1-19 3-21 15-22 21-28 13-31 
41001014	2-4 5-6 8-12 11-18 13-20 
41001015	4-0 11-2 17-3 3-4 10-5 11-8 8-13 10-15 17-16 14-24 16-27 19-29 
41001016	3-5 5-6 6-8 7-10 14-11 12-13 10-16 17-22 20-24 21-27 
41001017	1-1 3-3 11-5 3-7 8-9 9-11 8-12 
41001018	1-1 5-5 2-8 8-10 
41001019	6-4 4-6 6-8 7-10 8-11 10-12 12-14 16-16 15-18 14-19 24-21 19-29 21-31 24-37 
41001020	2-1 3-3 9-9 10-10 11-12 13-14 14-15 20-21 
41001021	10-4 2-7 4-10 9-14 9-15 10-18 2-20 10-26 
41001022	17-3 8-5 8-14 17-16 9-17 7-19 20-21 13-25 7-26 8-28 18-32 13-33 
41001023	4-1 7-3 8-4 4-6 7-13 12-14 4-17 14-19 14-21 8-22 14-25 
41001024	7-0 9-2 19-3 13-4 3-6 11-7 15-9 19-11 13-12 6-15 16-16 18-17 2-19 19-20 13-21 18-24 25-28 
41001025	0-0 1-1 2-3 5-4 4-9 11-10 3-11 
