GAL 2:3,ἠναγκάσθη,n48002003009,ὤν,"['n48002003007', 'n48002003008']"
GAL 2:7,ἔδωκαν,n48002009018,ἰδόντες/γνόντες,"['n48002007003', 'n48002007004', 'n48002007005', 'n48002007006', 'n48002007007', 'n48002007008', 'n48002007009', 'n48002007010', 'n48002007011', 'n48002007012', 'n48002007013', 'n48002008002', 'n48002008001', 'n48002008003', 'n48002008004', 'n48002008005', 'n48002008006', 'n48002008007', 'n48002008008', 'n48002008009', 'n48002008010', 'n48002008011', 'n48002008012', 'n48002008013', 'n48002008014', 'n48002009001', 'n48002009002', 'n48002009003', 'n48002009004', 'n48002009005', 'n48002009006', 'n48002009007']"
GAL 2:14,ζῇς,n48002014025,ὑπάρχων,"['n48002014019', 'n48002014020']"
GAL 2:14,ἀναγκάζεις,n48002014029,ὑπάρχων,"['n48002014017', 'n48002014018', 'n48002014019', 'n48002014020', 'n48002014021', 'n48002014022', 'n48002014023', 'n48002014024', 'n48002014025']"
GAL 2:16,ἐπιστεύσαμεν,n48002016021,εἰδότες,"['n48002016001', 'n48002016003', 'n48002016004', 'n48002016005', 'n48002016006', 'n48002016007', 'n48002016008', 'n48002016009', 'n48002016010', 'n48002016011', 'n48002016012', 'n48002016013', 'n48002016014', 'n48002016015']"
GAL 2:17,εὑρέθημεν,n48002017007,ζητοῦντες,"['n48002017003', 'n48002017004', 'n48002017005', 'n48002017006']"
GAL 3:3,ἐπιτελεῖσθε,n48003003008,ἐναρξάμενοι,"['n48003003004', 'n48003003005']"
GAL 3:8,προευηγγελίσατο,n48003008013,προϊδοῦσα,"['n48003008001', 'n48003008005', 'n48003008006', 'n48003008007', 'n48003008008', 'n48003008009', 'n48003008010', 'n48003008011', 'n48003008012']"
GAL 4:8,ἐδουλεύσατε,n48004008007,εἰδότες,"['n48004008004', 'n48004008005', 'n48004008006']"
GAL 4:9,ἐπιστρέφετε,n48004009011,γνόντες/γνωσθέντες,"['n48004009003', 'n48004009004', 'n48004009006', 'n48004009005', 'n48004009007', 'n48004009008', 'n48004009009']"
GAL 4:15,ἐδώκατέ,n48004015016,ἐξορύξαντες,"['n48004015012', 'n48004015013', 'n48004015014', 'n48004015015']"
GAL 6:3,φρεναπατᾷ,n48006003009,ὤν,"['n48006003001', 'n48006003003', 'n48006003004', 'n48006003005', 'n48006003006', 'n48006003007', 'n48006003008']"
