COL 2:13,συνεζωοποίησεν,n51002013014,ὄντας,"['n51002013002', 'n51002013003', 'n51002013004', 'n51002013005', 'n51002013006', 'n51002013007', 'n51002013008', 'n51002013009', 'n51002013010', 'n51002013011', 'n51002013012', 'n51002013013']"
COL 2:15,ἐδειγμάτισεν,n51002015007,ἀπεκδυσάμενος,"['n51002015001', 'n51002015002', 'n51002015003', 'n51002015004', 'n51002015005', 'n51002015006']"
COL 2:19,αὔξει,n51002019019,ἐπιχορηγούμενον/συμβιβαζόμενον,"['n51002019011', 'n51002019012', 'n51002019013', 'n51002019014', 'n51002019015', 'n51002019016', 'n51002019017', 'n51002019018']"
COL 2:20,δογματίζεσθε,n51002020015,ζῶντες,"['n51002020011', 'n51002020012', 'n51002020013', 'n51002020014']"
