PHP 1:14,τολμᾶν,n50001014013,πεποιθότας,"['n50001014006', 'n50001014007', 'n50001014008', 'n50001014009', 'n50001014010', 'n50001014011']"
PHP 1:25,οἶδα,n50001025004,πεποιθὼς,"['n50001025002', 'n50001025003']"
PHP 1:27,ἀκούω,n50001027016,ἐλθὼν/ἰδὼν/ἀπὼν,"['n50001027009', 'n50001027010', 'n50001027011', 'n50001027012', 'n50001027013', 'n50001027014', 'n50001027015']"
PHP 2:6,ἡγήσατο,n50002006008,ὑπάρχων,"['n50002006002', 'n50002006003', 'n50002006004', 'n50002006005']"
PHP 2:7,ἐταπείνωσεν,n50002008001,εὑρεθεὶς,"['n50002007012', 'n50002007013', 'n50002007014', 'n50002007015']"
PHP 2:28,χαρῆτε,n50002028009,ἰδόντες,"['n50002028006', 'n50002028007', 'n50002028008']"
PHP 3:13,διώκω,n50003014003,ἐπιλανθανόμενος/ἐπεκτεινόμενος,"['n50003013010', 'n50003013009', 'n50003013011', 'n50003013012', 'n50003013014', 'n50003013013', 'n50003013015', 'n50003013016']"
PHP 3:18,λέγω,n50003018012,κλαίων,['n50003018011']
