1TH 2:2,ἐπαρρησιασάμεθα,n52002002009,προπαθόντες/ὑβρισθέντες,"['n52002002002', 'n52002002003', 'n52002002004', 'n52002002007', 'n52002002008', 'n52002002005', 'n52002002006']"
1TH 2:8,εὐδοκοῦμεν,n52002008004,ὁμειρόμενοι,"['n52002008001', 'n52002008002', 'n52002008003']"
1TH 2:9,ἐκηρύξαμεν,n52002009020,ἐργαζόμενοι,"['n52002009010', 'n52002009011', 'n52002009012', 'n52002009013', 'n52002009014', 'n52002009015', 'n52002009016', 'n52002009017', 'n52002009018', 'n52002009019']"
1TH 2:13,ἐδέξασθε,n52002013018,παραλαβόντες,"['n52002013011', 'n52002013012', 'n52002013013', 'n52002013014', 'n52002013015', 'n52002013016', 'n52002013017']"
1TH 2:17,ἐσπουδάσαμεν,n52002017014,ἀπορφανισθέντες,"['n52002017004', 'n52002017005', 'n52002017006', 'n52002017007', 'n52002017008', 'n52002017009', 'n52002017010', 'n52002017011', 'n52002017012']"
1TH 3:1,εὐδοκήσαμεν,n52003001004,στέγοντες,"['n52003001002', 'n52003001003']"
1TH 3:5,ἔπεμψα,n52003005006,στέγων,"['n52003005004', 'n52003005005']"
1TH 5:8,νήφωμεν,n52005008005,ὄντες,"['n52005008003', 'n52005008004']"
