2TI 1:17,ἐζήτησέν,n55001017006,γενόμενος,"['n55001017002', 'n55001017003', 'n55001017004']"
2TI 2:4,ἐμπλέκεται,n55002004003,στρατευόμενος,['n55002004002']
2TI 4:11,ἄγε,n55004011008,ἀναλαβὼν,"['n55004011006', 'n55004011007']"
2TI 4:13,φέρε,n55004013010,ἐρχόμενος,['n55004013009']
