JAS 1:12,λήμψεται,n59001012009,γενόμενος,"['n59001012007', 'n59001012008']"
JAS 1:13,λεγέτω,n59001013003,πειραζόμενος,['n59001013002']
JAS 1:15,τίκτει,n59001015005,συλλαβοῦσα,['n59001015004']
JAS 1:15,ἀποκύει,n59001015011,ἀποτελεσθεῖσα,['n59001015010']
JAS 1:18,ἀπεκύησεν,n59001018002,βουληθεὶς,['n59001018001']
JAS 1:21,δέξασθε,n59001021010,ἀποθέμενοι,"['n59001021002', 'n59001021003', 'n59001021004', 'n59001021005', 'n59001021006', 'n59001021007']"
JAS 3:4,μετάγεται,n59003004012,ὄντα/ἐλαυνόμενα,"['n59003004005', 'n59003004006', 'n59003004007', 'n59003004008', 'n59003004009', 'n59003004010', 'n59003004011']"
JAS 5:15,ἀφεθήσεται,n59005015018,πεποιηκώς,"['n59005015014', 'n59005015015', 'n59005015016', 'n59005015017']"
