JUD 1:3,ἔσχον,n65001003013,ποιούμενος,"['n65001003002', 'n65001003003', 'n65001003004', 'n65001003005', 'n65001003006', 'n65001003007', 'n65001003008', 'n65001003009', 'n65001003010', 'n65001003011']"
JUD 1:5,ἀπώλεσεν,n65001005021,σώσας,"['n65001005011', 'n65001005012', 'n65001005013', 'n65001005014', 'n65001005015']"
JUD 1:7,πρόκεινται,n65001007020,ἐκπορνεύσασαι/ἀπελθοῦσαι,"['n65001007010', 'n65001007011', 'n65001007012', 'n65001007013', 'n65001007014', 'n65001007015', 'n65001007016', 'n65001007017', 'n65001007018', 'n65001007019']"
JUD 1:9,διελέγετο,n65001009010,διακρινόμενος,"['n65001009007', 'n65001009008', 'n65001009009']"
JUD 1:20,τηρήσατε,n65001021005,ἐποικοδομοῦντες/προσευχόμενοι,"['n65001020004', 'n65001020005', 'n65001020006', 'n65001020007', 'n65001020008', 'n65001020009', 'n65001020010', 'n65001020011', 'n65001020012', 'n65001020013']"
