MAT 1:19,ἐβουλήθη,n40001019013,ὢν/θέλων,"['n40001019006', 'n40001019007', 'n40001019008', 'n40001019009', 'n40001019010', 'n40001019011', 'n40001019012']"
MAT 1:20,ἐφάνη,n40001020010,ἐνθυμηθέντος,"['n40001020001', 'n40001020003', 'n40001020004']"
MAT 1:24,ἐποίησεν,n40001024008,ἐγερθεὶς,"['n40001024001', 'n40001024005', 'n40001024006', 'n40001024007']"
MAT 2:3,ἐταράχθη,n40002003006,ἀκούσας,['n40002003001']
MAT 2:4,ἐπυνθάνετο,n40002004010,συναγαγὼν,"['n40002004002', 'n40002004003', 'n40002004004', 'n40002004005', 'n40002004006', 'n40002004007', 'n40002004008', 'n40002004009']"
MAT 2:7,ἠκρίβωσεν,n40002007007,καλέσας,"['n40002007003', 'n40002007004', 'n40002007005', 'n40002007006']"
MAT 2:8,εἶπεν,n40002008006,πέμψας,"['n40002008002', 'n40002008003', 'n40002008004', 'n40002008005']"
MAT 2:8,ἐξετάσατε,n40002008008,Πορευθέντες,['n40002008007']
MAT 2:8,προσκυνήσω,n40002008021,ἐλθὼν,['n40002008020']
MAT 2:9,ἐπορεύθησαν,n40002009006,ἀκούσαντες,"['n40002009003', 'n40002009004', 'n40002009005']"
MAT 2:9,ἐστάθη,n40002009020,ἐλθὼν,['n40002009019']
MAT 2:10,ἐχάρησαν,n40002010005,ἰδόντες,"['n40002010001', 'n40002010003', 'n40002010004']"
MAT 2:11,εἶδον,n40002011006,ἐλθόντες,"['n40002011002', 'n40002011003', 'n40002011004', 'n40002011005']"
MAT 2:11,προσεκύνησαν,n40002011016,πεσόντες,['n40002011015']
MAT 2:11,προσήνεγκαν,n40002011023,ἀνοίξαντες,"['n40002011019', 'n40002011020', 'n40002011021', 'n40002011022']"
MAT 2:12,ἀνεχώρησαν,n40002012012,χρηματισθέντες,"['n40002012002', 'n40002012003', 'n40002012004', 'n40002012005', 'n40002012006', 'n40002012007', 'n40002012008']"
MAT 2:13,παράλαβε,n40002013014,Ἐγερθεὶς,['n40002013013']
MAT 2:14,παρέλαβε,n40002014004,ἐγερθεὶς,['n40002014003']
MAT 2:16,ἐθυμώθη,n40002016009,ἰδὼν,"['n40002016003', 'n40002016004', 'n40002016005', 'n40002016006', 'n40002016007', 'n40002016008']"
MAT 2:16,ἀνεῖλεν,n40002016013,ἀποστείλας,['n40002016012']
MAT 2:20,παράλαβε,n40002020003,Ἐγερθεὶς,['n40002020002']
MAT 2:21,παρέλαβε,n40002021004,ἐγερθεὶς,['n40002021003']
MAT 2:22,ἐφοβήθη,n40002022013,ἀκούσας,"['n40002022001', 'n40002022003', 'n40002022004', 'n40002022005', 'n40002022006', 'n40002022007', 'n40002022008', 'n40002022009', 'n40002022010', 'n40002022011', 'n40002022012']"
MAT 2:22,ἀνεχώρησεν,n40002022020,χρηματισθεὶς,"['n40002022016', 'n40002022018', 'n40002022019']"
MAT 2:23,κατῴκησεν,n40002023003,ἐλθὼν,['n40002023002']
MAT 3:7,εἶπεν,n40003007013,Ἰδὼν/ἐρχομένους,"['n40003007001', 'n40003007003', 'n40003007004', 'n40003007005', 'n40003007006', 'n40003007007', 'n40003007008', 'n40003007009', 'n40003007010', 'n40003007011', 'n40003007012']"
MAT 3:15,εἶπεν,n40003015005,ἀποκριθεὶς,['n40003015001']
MAT 3:16,ἀνέβη,n40003016006,βαπτισθεὶς,['n40003016001']
MAT 4:2,ἐπείνασεν,n40004002009,νηστεύσας,"['n40004002002', 'n40004002003', 'n40004002004', 'n40004002005', 'n40004002006', 'n40004002007']"
MAT 4:3,εἶπεν,n40004003005,προσελθὼν,['n40004003002']
MAT 4:4,εἶπεν,n40004004004,ἀποκριθεὶς,['n40004004003']
MAT 4:9,προσκυνήσῃς,n40004009010,πεσὼν,['n40004009009']
MAT 4:12,ἀνεχώρησεν,n40004012006,Ἀκούσας,"['n40004012001', 'n40004012003', 'n40004012004', 'n40004012005']"
MAT 4:13,κατῴκησεν,n40004013006,ἐλθὼν,['n40004013005']
MAT 4:13,κατῴκησεν,n40004013006,καταλιπὼν,"['n40004013002', 'n40004013003', 'n40004013004']"
MAT 4:18,εἶδεν,n40004018008,Περιπατῶν,"['n40004018001', 'n40004018003', 'n40004018004', 'n40004018005', 'n40004018006', 'n40004018007']"
MAT 4:20,ἠκολούθησαν,n40004020007,ἀφέντες,"['n40004020004', 'n40004020005', 'n40004020006']"
MAT 4:21,εἶδεν,n40004021004,προβὰς,"['n40004021002', 'n40004021003']"
MAT 4:22,ἠκολούθησαν,n40004022011,ἀφέντες,"['n40004022004', 'n40004022005', 'n40004022006', 'n40004022007', 'n40004022008', 'n40004022009', 'n40004022010']"
MAT 5:1,ἀνέβη,n40005001005,Ἰδὼν,"['n40005001001', 'n40005001003', 'n40005001004']"
MAT 5:2,ἐδίδασκεν,n40005002006,ἀνοίξας,"['n40005002002', 'n40005002003', 'n40005002004', 'n40005002005']"
MAT 5:13,καταπατεῖσθαι,n40005013023,βληθὲν,"['n40005013021', 'n40005013022']"
MAT 5:24,πρόσφερε,n40005024019,ἐλθὼν,['n40005024018']
MAT 6:5,προσεύχεσθαι,n40006005021,ἑστῶτες,"['n40006005011', 'n40006005012', 'n40006005013', 'n40006005014', 'n40006005015', 'n40006005016', 'n40006005017', 'n40006005018', 'n40006005019', 'n40006005020']"
MAT 6:6,πρόσευξαι,n40006006015,κλείσας,"['n40006006011', 'n40006006012', 'n40006006013', 'n40006006014']"
MAT 6:7,βατταλογήσητε,n40006007004,Προσευχόμενοι,['n40006007001']
MAT 6:17,ἄλειψαί,n40006017004,νηστεύων,['n40006017003']
MAT 6:27,δύναται,n40006027006,μεριμνῶν,['n40006027005']
MAT 6:30,ἀμφιέννυσιν,n40006030017,ὄντα/βαλλόμενον,"['n40006030007', 'n40006030008', 'n40006030009', 'n40006030010', 'n40006030011', 'n40006030012', 'n40006030013']"
MAT 7:6,ῥήξωσιν,n40007006024,στραφέντες,['n40007006023']
MAT 7:11,οἴδατε,n40007011006,ὄντες,"['n40007011004', 'n40007011005']"
MAT 7:11,δώσει,n40007011022,ὄντες,"['n40007011001', 'n40007011003', 'n40007011004', 'n40007011005', 'n40007011006', 'n40007011007', 'n40007011008', 'n40007011009', 'n40007011010', 'n40007011011', 'n40007011012']"
MAT 8:2,προσεκύνει,n40008002005,προσελθὼν,['n40008002004']
MAT 8:3,ἥψατο,n40008003005,ἐκτείνας,"['n40008003002', 'n40008003003', 'n40008003004']"
MAT 8:7,θεραπεύσω,n40008007006,ἐλθὼν,['n40008007005']
MAT 8:8,ἔφη,n40008008005,ἀποκριθεὶς,['n40008008002']
MAT 8:10,ἐθαύμασεν,n40008010005,ἀκούσας,['n40008010001']
MAT 8:14,εἶδεν,n40008014009,ἐλθὼν,"['n40008014002', 'n40008014005', 'n40008014006', 'n40008014007', 'n40008014008']"
MAT 8:18,ἐκέλευσεν,n40008018009,Ἰδὼν,"['n40008018001', 'n40008018005', 'n40008018006', 'n40008018007', 'n40008018008']"
MAT 8:19,εἶπεν,n40008019005,προσελθὼν,['n40008019002']
MAT 8:25,ἤγειραν,n40008025003,προσελθόντες,['n40008025002']
MAT 8:26,ἐπετίμησεν,n40008026010,ἐγερθεὶς,['n40008026009']
MAT 8:32,ἀπῆλθον,n40008032008,ἐξελθόντες,['n40008032007']
MAT 8:33,ἀπήγγειλαν,n40008033010,ἀπελθόντες,"['n40008033006', 'n40008033007', 'n40008033008', 'n40008033009']"
MAT 8:34,παρεκάλεσαν,n40008034014,ἰδόντες,['n40008034012']
MAT 9:1,διεπέρασεν,n40009001005,ἐμβὰς,"['n40009001002', 'n40009001003', 'n40009001004']"
MAT 9:2,εἶπεν,n40009002016,ἰδὼν,"['n40009002010', 'n40009002013', 'n40009002014', 'n40009002015']"
MAT 9:4,εἶπεν,n40009004008,εἰδὼς,"['n40009004002', 'n40009004005', 'n40009004006', 'n40009004007']"
MAT 9:6,ἆρόν,n40009006021,Ἐγερθεὶς,['n40009006020']
MAT 9:7,ἀπῆλθεν,n40009007003,ἐγερθεὶς,['n40009007002']
MAT 9:8,ἐφοβήθησαν,n40009008005,ἰδόντες,['n40009008001']
MAT 9:9,εἶδεν,n40009009006,παράγων,"['n40009009002', 'n40009009005']"
MAT 9:9,ἠκολούθησεν,n40009009021,ἀναστὰς,['n40009009020']
MAT 9:10,συνανέκειντο,n40009010015,ἐλθόντες,['n40009010014']
MAT 9:11,ἔλεγον,n40009011005,ἰδόντες,['n40009011002']
MAT 9:12,εἶπεν,n40009012004,ἀκούσας,['n40009012003']
MAT 9:13,μάθετε,n40009013003,πορευθέντες,['n40009013001']
MAT 9:18,προσεκύνει,n40009018009,ἐλθὼν,['n40009018008']
MAT 9:18,προσεκύνει,n40009018009,λαλοῦντος,"['n40009018001', 'n40009018002', 'n40009018003', 'n40009018004']"
MAT 9:18,ἐπίθες,n40009018020,ἐλθὼν,['n40009018019']
MAT 9:19,ἠκολούθει,n40009019005,ἐγερθεὶς,['n40009019002']
MAT 9:20,ἥψατο,n40009020009,προσελθοῦσα,"['n40009020007', 'n40009020008']"
MAT 9:22,εἶπεν,n40009022008,στραφεὶς/ἰδὼν,"['n40009022004', 'n40009022005', 'n40009022006', 'n40009022007']"
MAT 9:23,ἔλεγεν,n40009024001,ἐλθὼν/ἰδὼν/θορυβούμενον,"['n40009023002', 'n40009023005', 'n40009023006', 'n40009023007', 'n40009023008', 'n40009023009', 'n40009023010', 'n40009023011', 'n40009023012', 'n40009023013', 'n40009023014', 'n40009023015', 'n40009023016', 'n40009023017']"
MAT 9:25,ἐκράτησεν,n40009025007,εἰσελθὼν,['n40009025006']
MAT 9:31,διεφήμισαν,n40009031004,ἐξελθόντες,['n40009031003']
MAT 9:36,ἐσπλαγχνίσθη,n40009036005,Ἰδὼν,"['n40009036001', 'n40009036003', 'n40009036004']"
MAT 10:1,ἔδωκεν,n40010001007,προσκαλεσάμενος,"['n40010001002', 'n40010001003', 'n40010001004', 'n40010001005', 'n40010001006']"
MAT 10:7,κηρύσσετε,n40010007003,πορευόμενοι,['n40010007001']
MAT 10:12,ἀσπάσασθε,n40010012006,εἰσερχόμενοι,"['n40010012001', 'n40010012003', 'n40010012004', 'n40010012005']"
MAT 10:14,ἐκτινάξατε,n40010014020,ἐξερχόμενοι,"['n40010014012', 'n40010014013', 'n40010014014', 'n40010014015', 'n40010014016', 'n40010014017', 'n40010014018', 'n40010014019']"
MAT 11:1,μετέβη,n40011001012,διατάσσων,"['n40011001003', 'n40011001004', 'n40011001005', 'n40011001006', 'n40011001007', 'n40011001008', 'n40011001009', 'n40011001010', 'n40011001011']"
MAT 11:2,εἶπεν,n40011003001,πέμψας,"['n40011002012', 'n40011002013', 'n40011002014', 'n40011002015', 'n40011002016']"
MAT 11:2,εἶπεν,n40011003001,ἀκούσας,"['n40011002004', 'n40011002005', 'n40011002006', 'n40011002007', 'n40011002008', 'n40011002009', 'n40011002010', 'n40011002011']"
MAT 11:4,εἶπεν,n40011004005,ἀποκριθεὶς,['n40011004002']
MAT 11:4,ἀπαγγείλατε,n40011004008,Πορευθέντες,['n40011004007']
MAT 11:16,λέγουσιν,n40011017001,προσφωνοῦντα,"['n40011016015', 'n40011016016', 'n40011016017']"
MAT 11:25,εἶπεν,n40011025008,ἀποκριθεὶς,['n40011025005']
MAT 12:2,εἶπαν,n40012002005,ἰδόντες,['n40012002004']
MAT 12:9,ἦλθεν,n40012009004,μεταβὰς,"['n40012009002', 'n40012009003']"
MAT 12:14,ἔλαβον,n40012014006,ἐξελθόντες,['n40012014001']
MAT 12:15,ἀνεχώρησεν,n40012015005,γνοὺς,['n40012015004']
MAT 12:24,εἶπον,n40012024005,ἀκούσαντες,['n40012024004']
MAT 12:25,εἶπεν,n40012025006,εἰδὼς,"['n40012025001', 'n40012025003', 'n40012025004', 'n40012025005']"
MAT 12:39,εἶπεν,n40012039004,ἀποκριθεὶς,['n40012039003']
MAT 12:44,εὑρίσκει,n40012044012,ἐλθὸν,['n40012044011']
MAT 12:45,κατοικεῖ,n40012045014,εἰσελθόντα,['n40012045013']
MAT 12:46,εἱστήκεισαν,n40012046014,λαλοῦντος,"['n40012046001', 'n40012046003', 'n40012046004', 'n40012046005', 'n40012046006']"
MAT 12:48,εἶπεν,n40012048004,ἀποκριθεὶς,['n40012048003']
MAT 12:49,εἶπεν,n40012049010,ἐκτείνας,"['n40012049002', 'n40012049003', 'n40012049004', 'n40012049005', 'n40012049006', 'n40012049007', 'n40012049008', 'n40012049009']"
MAT 13:1,ἐκάθητο,n40013001010,ἐξελθὼν,"['n40013001005', 'n40013001008', 'n40013001009']"
MAT 13:2,καθῆσθαι,n40013002012,ἐμβάντα,"['n40013002009', 'n40013002010', 'n40013002011']"
MAT 13:4,κατέφαγεν,n40013004016,ἐλθόντα,['n40013004013']
MAT 13:10,εἶπαν,n40013010005,προσελθόντες,['n40013010002']
MAT 13:11,εἶπεν,n40013011004,ἀποκριθεὶς,['n40013011003']
MAT 13:13,βλέπουσιν,n40013013010,βλέποντες,['n40013013008']
MAT 13:14,βλέψετε,n40013014017,βλέποντες,['n40013014016']
MAT 13:21,σκανδαλίζεται,n40013021019,γενομένης,"['n40013021010', 'n40013021012', 'n40013021013', 'n40013021014', 'n40013021015', 'n40013021016', 'n40013021017']"
MAT 13:27,εἶπον,n40013027007,προσελθόντες,['n40013027001']
MAT 13:28,συλλέξωμεν,n40013028017,ἀπελθόντες,['n40013028016']
MAT 13:29,ἐκριζώσητε,n40013029009,συλλέγοντες,"['n40013029006', 'n40013029007', 'n40013029008']"
MAT 13:31,ἔσπειρεν,n40013031017,λαβὼν,"['n40013031014', 'n40013031015']"
MAT 13:33,ἐνέκρυψεν,n40013033015,λαβοῦσα,"['n40013033012', 'n40013033013']"
MAT 13:36,ἦλθεν,n40013036005,ἀφεὶς,"['n40013036002', 'n40013036003', 'n40013036004']"
MAT 13:37,εἶπεν,n40013037004,ἀποκριθεὶς,['n40013037003']
MAT 13:44,ἔκρυψεν,n40013044015,εὑρὼν,"['n40013044012', 'n40013044013']"
MAT 13:46,πέπρακεν,n40013046007,ἀπελθὼν,['n40013046006']
MAT 13:46,πέπρακεν,n40013046007,εὑρὼν,"['n40013046001', 'n40013046003', 'n40013046004', 'n40013046005']"
MAT 13:48,συνέλεξαν,n40013048010,ἀναβιβάσαντες/καθίσαντες,"['n40013048001', 'n40013048002', 'n40013048003', 'n40013048004', 'n40013048005', 'n40013048006', 'n40013048007', 'n40013048008', 'n40013048009']"
MAT 13:54,ἐδίδασκεν,n40013054007,ἐλθὼν,"['n40013054002', 'n40013054003', 'n40013054004', 'n40013054005', 'n40013054006']"
MAT 14:3,ἔδησεν,n40014003007,κρατήσας,"['n40014003004', 'n40014003005', 'n40014003006']"
MAT 14:5,ἐφοβήθη,n40014005005,θέλων,"['n40014005002', 'n40014005003', 'n40014005004']"
