1CO 2:1,ἦλθον,n46002001006,ἐλθὼν,"['n46002001002', 'n46002001003', 'n46002001004']"
1CO 4:12,εὐλογοῦμεν,n46004012008,λοιδορούμενοι,['n46004012007']
1CO 4:12,ἀνεχόμεθα,n46004012010,διωκόμενοι,['n46004012009']
1CO 4:13,παρακαλοῦμεν,n46004013002,δυσφημούμενοι,['n46004013001']
1CO 4:14,γράφω,n46004014004,ἐντρέπων,"['n46004014002', 'n46004014003']"
1CO 4:18,ἐφυσιώθησάν,n46004018008,ἐρχομένου,"['n46004018001', 'n46004018002', 'n46004018003', 'n46004018005', 'n46004018006', 'n46004018007']"
1CO 5:3,κέκρικα,n46005003012,ἀπὼν/παρὼν,"['n46005003002', 'n46005003004', 'n46005003005', 'n46005003006', 'n46005003008', 'n46005003007', 'n46005003009', 'n46005003010']"
1CO 5:4,παραδοῦναι,n46005005001,συναχθέντων,"['n46005004001', 'n46005004002', 'n46005004003', 'n46005004004', 'n46005004005', 'n46005004006', 'n46005004007', 'n46005004008', 'n46005004009', 'n46005004010', 'n46005004011', 'n46005004012', 'n46005004013', 'n46005004014', 'n46005004015', 'n46005004016', 'n46005004017', 'n46005004018', 'n46005004019', 'n46005004020']"
1CO 6:15,ποιήσω,n46006015016,ἄρας,"['n46006015010', 'n46006015012', 'n46006015013', 'n46006015014', 'n46006015015']"
1CO 7:18,ἐκλήθη,n46007018003,περιτετμημένος,['n46007018001']
1CO 8:7,μολύνεται,n46008007024,οὖσα,"['n46008007022', 'n46008007023']"
1CO 8:10,οἰκοδομηθήσεται,n46008010018,ὄντος,"['n46008010016', 'n46008010017']"
1CO 8:12,ἁμαρτάνετε,n46008012015,ἁμαρτάνοντες/τύπτοντες/ἀσθενοῦσαν,"['n46008012001', 'n46008012003', 'n46008012004', 'n46008012005', 'n46008012006', 'n46008012007', 'n46008012008', 'n46008012009', 'n46008012010', 'n46008012011', 'n46008012012']"
1CO 9:18,θήσω,n46009018010,εὐαγγελιζόμενος,['n46009018008']
1CO 9:19,ἐδούλωσα,n46009019008,ὢν,"['n46009019001', 'n46009019003', 'n46009019004', 'n46009019005']"
1CO 11:4,καταισχύνει,n46011004009,προσευχόμενος/προφητεύων/ἔχων,"['n46011004003', 'n46011004004', 'n46011004005', 'n46011004006', 'n46011004007', 'n46011004008']"
1CO 11:5,καταισχύνει,n46011005010,προσευχομένη/προφητεύουσα,"['n46011005004', 'n46011005005', 'n46011005006', 'n46011005007', 'n46011005008', 'n46011005009']"
1CO 11:17,ἐπαινῶ,n46011017005,παραγγέλλων,"['n46011017001', 'n46011017003']"
1CO 11:24,ἔκλασεν,n46011024003,εὐχαριστήσας,['n46011024002']
1CO 11:32,παιδευόμεθα,n46011032005,κρινόμενοι,"['n46011032001', 'n46011032003', 'n46011032004']"
1CO 11:33,ἐκδέχεσθε,n46011033009,συνερχόμενοι,"['n46011033004', 'n46011033005', 'n46011033006', 'n46011033007']"
1CO 14:6,ὠφελήσω,n46014006012,λαλῶν,"['n46014006004', 'n46014006001', 'n46014006005', 'n46014006006', 'n46014006007', 'n46014006008', 'n46014006009']"
1CO 14:25,προσκυνήσει,n46014025013,πεσὼν,"['n46014025010', 'n46014025011', 'n46014025012']"
1CO 14:30,σιγάτω,n46014030008,καθημένῳ,"['n46014030001', 'n46014030003', 'n46014030005', 'n46014030004']"
1CO 16:6,παραμενῶ,n46016006005,τυχὸν,['n46016006004']
1CO 11:18,συνερχομένων,n46011018004,συνερχομένων,"['n46011018004', 'n46011018005', 'n46011018006', 'n46011018007']"
