1TI 1:6,ἐξετράπησαν,n54001006004,ἀστοχήσαντες,"['n54001006001', 'n54001006003']"
1TI 1:13,ἐποίησα,n54001013013,ἀγνοῶν,['n54001013012']
1TI 1:19,ἐναυάγησαν,n54001019012,ἀπωσάμενοι,"['n54001019006', 'n54001019008']"
1TI 2:14,γέγονεν,n54002014011,ἐξαπατηθεῖσα,['n54002014008']
1TI 3:6,ἐμπέσῃ,n54003006008,τυφωθεὶς,['n54003006005']
1TI 4:16,σώσεις,n54004016013,ποιῶν,"['n54004016008', 'n54004016010']"
1TI 5:6,τέθνηκεν,n54005006005,ζῶσα,['n54005006004']
1TI 6:8,ἀρκεσθησόμεθα,n54006008007,ἔχοντες,"['n54006008001', 'n54006008003', 'n54006008004', 'n54006008005']"
1TI 6:10,ἀπεπλανήθησαν,n54006010012,ὀρεγόμενοι,"['n54006010009', 'n54006010011']"
1TI 6:21,ἠστόχησαν,n54006021007,ἐπαγγελλόμενοι,"['n54006021001', 'n54006021003']"
