2PE 1:5,ἐπιχορηγήσατε,n61001005008,παρεισενέγκαντες,"['n61001005005', 'n61001005006', 'n61001005007']"
2PE 1:8,καθίστησιν,n61001008011,ὑπάρχοντα/πλεονάζοντα,"['n61001008003', 'n61001008004', 'n61001008005', 'n61001008006']"
2PE 1:10,πταίσητέ,n61001010017,ποιοῦντες,"['n61001010012', 'n61001010014']"
2PE 1:16,ἐγνωρίσαμεν,n61001016006,σεσοφισμένοις/ἐξακολουθήσαντες,"['n61001016003', 'n61001016004', 'n61001016005']"
2PE 1:21,ἐλάλησαν,n61001021013,φερόμενοι,"['n61001021009', 'n61001021010', 'n61001021011', 'n61001021012']"
2PE 2:4,παρέδωκεν,n61002004013,ταρταρώσας,['n61002004012']
2PE 2:6,κατέκρινεν,n61002006008,τεφρώσας,"['n61002006002', 'n61002006003', 'n61002006004', 'n61002006005', 'n61002006006']"
2PE 2:8,ἐβασάνιζεν,n61002008017,ἐγκατοικῶν,"['n61002008007', 'n61002008008', 'n61002008009']"
2PE 2:4,οἶδεν,n61002009001,ἁμαρτησάντων/ταρταρώσας/τηρουμένους/ἐπάξας/τεφρώσας/μελλόντων/τεθεικώς/καταπονούμενον/ἐγκατοικῶν,"['n61002004001', 'n61002004003', 'n61002004004', 'n61002004005', 'n61002004006', 'n61002004007', 'n61002004008', 'n61002004009', 'n61002004010', 'n61002004011', 'n61002004012', 'n61002004013', 'n61002004014', 'n61002004015', 'n61002004016', 'n61002005001', 'n61002005002', 'n61002005003', 'n61002005004', 'n61002005005', 'n61002005006', 'n61002005007', 'n61002005008', 'n61002005009', 'n61002005010', 'n61002005011', 'n61002005012', 'n61002005013', 'n61002005014', 'n61002005015', 'n61002006001', 'n61002006002', 'n61002006003', 'n61002006004', 'n61002006005', 'n61002006006', 'n61002006007', 'n61002006008', 'n61002006009', 'n61002006010', 'n61002006011', 'n61002006012', 'n61002007001', 'n61002007002', 'n61002007003', 'n61002007004', 'n61002007005', 'n61002007006', 'n61002007007', 'n61002007008', 'n61002007009', 'n61002007010', 'n61002007011', 'n61002007012', 'n61002008002', 'n61002008001', 'n61002008003', 'n61002008004', 'n61002008005', 'n61002008006', 'n61002008007', 'n61002008008', 'n61002008009', 'n61002008010', 'n61002008011', 'n61002008012', 'n61002008013', 'n61002008014', 'n61002008015', 'n61002008016', 'n61002008017']"
2PE 2:9,τηρεῖν,n61002009013,κολαζομένους,"['n61002009009', 'n61002009010', 'n61002009011', 'n61002009012']"
2PE 2:10,τρέμουσιν,n61002010017,βλασφημοῦντες,"['n61002010015', 'n61002010018']"
2PE 2:11,φέρουσιν,n61002011009,ὄντες,"['n61002011003', 'n61002011004', 'n61002011005', 'n61002011006', 'n61002011007']"
2PE 2:13,ἐπλανήθησαν,n61002015004,ἡγούμενοι/ἐντρυφῶντες/συνευωχούμενοι/ἔχοντες/δελεάζοντες/γεγυμνασμένην/ἔχοντες/καταλιπόντες,"['n61002013004', 'n61002013005', 'n61002013006', 'n61002013007', 'n61002013008', 'n61002013009', 'n61002013010', 'n61002013011', 'n61002013012', 'n61002013013', 'n61002013014', 'n61002013015', 'n61002013016', 'n61002013017', 'n61002013018', 'n61002013019', 'n61002014002', 'n61002014001', 'n61002014003', 'n61002014004', 'n61002014005', 'n61002014006', 'n61002014007', 'n61002014008', 'n61002014009', 'n61002014010', 'n61002014011', 'n61002014012', 'n61002014013', 'n61002014014', 'n61002014015', 'n61002014016', 'n61002015001', 'n61002015002', 'n61002015003']"
2PE 2:16,ἐκώλυσεν,n61002016012,φθεγξάμενον,"['n61002016008', 'n61002016009', 'n61002016010', 'n61002016011']"
2PE 2:18,δελεάζουσιν,n61002018005,φθεγγόμενοι,"['n61002018001', 'n61002018003', 'n61002018004']"
2PE 2:20,ἡττῶνται,n61002020020,ἀποφυγόντες/ἐμπλακέντες,"['n61002020003', 'n61002020004', 'n61002020005', 'n61002020006', 'n61002020007', 'n61002020008', 'n61002020009', 'n61002020010', 'n61002020011', 'n61002020012', 'n61002020013', 'n61002020014', 'n61002020015', 'n61002020017', 'n61002020016', 'n61002020018', 'n61002020019']"
2PE 2:21,ὑποστρέψαι,n61002021013,ἐπιγνοῦσιν,['n61002021012']
2PE 3:6,ἀπώλετο,n61003006008,κατακλυσθεὶς,"['n61003006006', 'n61003006007']"
2PE 3:10,λυθήσεται,n61003010016,καυσούμενα,['n61003010015']
2PE 3:12,λυθήσονται,n61003012014,πυρούμενοι,['n61003012013']
2PE 3:12,τήκεται,n61003012018,καυσούμενα,['n61003012017']
2PE 3:14,σπουδάσατε,n61003014005,προσδοκῶντες,"['n61003014003', 'n61003014004']"
2PE 3:15,ἔγραψεν,n61003015021,δοθεῖσαν,"['n61003015016', 'n61003015017', 'n61003015018', 'n61003015019', 'n61003015020']"
2PE 3:17,φυλάσσεσθε,n61003017005,προγινώσκοντες,['n61003017004']
2PE 3:17,ἐκπέσητε,n61003017013,συναπαχθέντες,"['n61003017008', 'n61003017009', 'n61003017010', 'n61003017011', 'n61003017012']"
2PE 1:17,λαβὼν,n61001017001,λαβὼν,"['n61001017001', 'n61001017003', 'n61001017004', 'n61001017005', 'n61001017006', 'n61001017007', 'n61001017008']"
2PE 3:11,λυομένων,n61003011004,λυομένων,"['n61003011002', 'n61003011001', 'n61003011003', 'n61003011004']"
