MRK 1:7,λῦσαι,n41001007015,κύψας,['n41001007014']
MRK 1:10,εἶδεν,n41001010007,ἀναβαίνων,"['n41001010003', 'n41001010004', 'n41001010005', 'n41001010006']"
MRK 1:16,εἶδεν,n41001016008,παράγων,"['n41001016002', 'n41001016003', 'n41001016004', 'n41001016005', 'n41001016006', 'n41001016007']"
MRK 1:18,ἠκολούθησαν,n41001018006,ἀφέντες,"['n41001018003', 'n41001018004', 'n41001018005']"
MRK 1:19,εἶδεν,n41001019004,προβὰς,"['n41001019002', 'n41001019003']"
MRK 1:20,ἀπῆλθον,n41001020017,ἀφέντες,"['n41001020006', 'n41001020007', 'n41001020008', 'n41001020009', 'n41001020010', 'n41001020011', 'n41001020012', 'n41001020013', 'n41001020014', 'n41001020015', 'n41001020016']"
MRK 1:26,ἐξῆλθεν,n41001026012,σπαράξαν/φωνῆσαν,"['n41001026002', 'n41001026003', 'n41001026008', 'n41001026009', 'n41001026010', 'n41001026011']"
MRK 1:29,ἦλθον,n41001029007,ἐξελθόντες,"['n41001029003', 'n41001029004', 'n41001029005', 'n41001029006']"
MRK 1:31,ἤγειρεν,n41001031003,προσελθὼν,['n41001031002']
MRK 1:35,ἐξῆλθεν,n41001035006,ἀναστὰς,['n41001035005']
MRK 1:41,ἥψατο,n41001041007,ἐκτείνας,"['n41001041003', 'n41001041004', 'n41001041005', 'n41001041006']"
MRK 1:41,ἥψατο,n41001041007,ὀργισθεὶς,['n41001041002']
MRK 1:43,ἐξέβαλεν,n41001043005,ἐμβριμησάμενος,"['n41001043002', 'n41001043003']"
MRK 1:45,ἤρξατο,n41001045004,ἐξελθὼν,['n41001045003']
MRK 2:4,ἀπεστέγασαν,n41002004009,δυνάμενοι,"['n41002004002', 'n41002004003', 'n41002004004', 'n41002004005', 'n41002004006', 'n41002004007', 'n41002004008']"
MRK 2:4,χαλῶσι,n41002004016,ἐξορύξαντες,['n41002004015']
MRK 2:5,λέγει,n41002005008,ἰδὼν,"['n41002005002', 'n41002005005', 'n41002005006', 'n41002005007']"
MRK 2:8,λέγει,n41002008014,ἐπιγνοὺς,"['n41002008003', 'n41002008006', 'n41002008007', 'n41002008008', 'n41002008009', 'n41002008010', 'n41002008011', 'n41002008012', 'n41002008013']"
MRK 2:12,ἐξῆλθεν,n41002012008,ἄρας,"['n41002012005', 'n41002012006', 'n41002012007']"
MRK 2:14,εἶδεν,n41002014003,παράγων,['n41002014002']
MRK 2:14,ἠκολούθησεν,n41002014019,ἀναστὰς,['n41002014018']
MRK 2:16,ἔλεγον,n41002016014,ἰδόντες,"['n41002016006', 'n41002016007', 'n41002016008', 'n41002016009', 'n41002016010', 'n41002016011', 'n41002016012', 'n41002016013']"
MRK 2:17,λέγει,n41002017005,ἀκούσας,['n41002017002']
MRK 3:5,λέγει,n41003005013,συλλυπούμενος,"['n41003005006', 'n41003005007', 'n41003005008', 'n41003005009', 'n41003005010', 'n41003005011', 'n41003005012']"
MRK 3:5,λέγει,n41003005013,περιβλεψάμενος,"['n41003005002', 'n41003005003', 'n41003005004', 'n41003005005']"
MRK 3:6,ἐδίδουν,n41003006010,ἐξελθόντες,['n41003006002']
MRK 3:8,ἦλθον,n41003008022,ἀκούοντες,"['n41003008019', 'n41003008020', 'n41003008021']"
MRK 3:21,ἐξῆλθον,n41003021006,ἀκούσαντες,['n41003021002']
MRK 3:23,ἔλεγεν,n41003023006,προσκαλεσάμενος,"['n41003023002', 'n41003023003']"
MRK 3:27,διαρπάσαι,n41003027013,εἰσελθὼν,"['n41003027004', 'n41003027005', 'n41003027006', 'n41003027007', 'n41003027008', 'n41003027009']"
MRK 3:31,ἀπέστειλαν,n41003031013,στήκοντες,"['n41003031011', 'n41003031012']"
MRK 3:33,λέγει,n41003033004,ἀποκριθεὶς,"['n41003033002', 'n41003033003']"
MRK 3:34,λέγει,n41003034008,περιβλεψάμενος,"['n41003034002', 'n41003034003', 'n41003034004', 'n41003034005', 'n41003034006', 'n41003034007']"
MRK 4:1,καθῆσθαι,n41004001019,ἐμβάντα,"['n41004001016', 'n41004001017', 'n41004001018']"
MRK 4:12,βλέπωσι,n41004012003,βλέποντες,['n41004012002']
MRK 4:12,ἀκούωσι,n41004012009,ἀκούοντες,['n41004012008']
MRK 4:17,σκανδαλίζονται,n41004017019,γενομένης,"['n41004017010', 'n41004017011', 'n41004017012', 'n41004017013', 'n41004017014', 'n41004017015', 'n41004017016', 'n41004017017']"
MRK 4:19,συμπνίγουσιν,n41004019018,εἰσπορευόμεναι,['n41004019017']
MRK 4:36,παραλαμβάνουσιν,n41004036005,ἀφέντες,"['n41004036002', 'n41004036003', 'n41004036004']"
MRK 4:39,ἐπετίμησεν,n41004039003,διεγερθεὶς,['n41004039002']
MRK 5:6,ἔδραμεν,n41005006007,ἰδὼν,"['n41005006002', 'n41005006003', 'n41005006004', 'n41005006005', 'n41005006006']"
MRK 5:7,λέγει,n41005007005,κράξας,"['n41005007002', 'n41005007003', 'n41005007004']"
MRK 5:13,εἰσῆλθον,n41005013010,ἐξελθόντα,['n41005013005']
MRK 5:22,πίπτει,n41005022011,ἰδὼν,"['n41005022009', 'n41005022010']"
MRK 5:23,ἐπιθῇς,n41005023014,ἐλθὼν,['n41005023013']
MRK 5:27,ἥψατο,n41005027010,ἐλθοῦσα,"['n41005027005', 'n41005027006', 'n41005027007', 'n41005027008', 'n41005027009']"
MRK 5:27,ἥψατο,n41005027010,ἀκούσασα,"['n41005027001', 'n41005027002', 'n41005027003', 'n41005027004']"
