MAT 1:19,"['n40001019006', 'n40001019007', 'n40001019008', 'n40001019009', 'n40001019010', 'n40001019011', 'n40001019012']"
MAT 1:24,"['n40001024001', 'n40001024005', 'n40001024006', 'n40001024007']"
MAT 2:3,['n40002003001']
MAT 2:4,"['n40002004002', 'n40002004003', 'n40002004004', 'n40002004005', 'n40002004006', 'n40002004007', 'n40002004008', 'n40002004009']"
MAT 2:7,"['n40002007003', 'n40002007004', 'n40002007005', 'n40002007006']"
MAT 2:8,"['n40002008002', 'n40002008003', 'n40002008004', 'n40002008005']"
MAT 2:8,['n40002008007']
MAT 2:8,['n40002008020']
MAT 2:9,"['n40002009003', 'n40002009004', 'n40002009005']"
MAT 2:9,['n40002009019']
MAT 2:10,"['n40002010001', 'n40002010003', 'n40002010004']"
MAT 2:11,"['n40002011002', 'n40002011003', 'n40002011004', 'n40002011005']"
MAT 2:11,['n40002011015']
MAT 2:11,"['n40002011019', 'n40002011020', 'n40002011021', 'n40002011022']"
MAT 2:12,"['n40002012002', 'n40002012003', 'n40002012004', 'n40002012005', 'n40002012006', 'n40002012007', 'n40002012008']"
MAT 2:13,['n40002013013']
MAT 2:14,['n40002014003']
MAT 2:16,"['n40002016003', 'n40002016004', 'n40002016005', 'n40002016006', 'n40002016007', 'n40002016008']"
MAT 2:16,['n40002016012']
MAT 2:20,['n40002020002']
MAT 2:21,['n40002021003']
MAT 2:22,"['n40002022001', 'n40002022003', 'n40002022004', 'n40002022005', 'n40002022006', 'n40002022007', 'n40002022008', 'n40002022009', 'n40002022010', 'n40002022011', 'n40002022012']"
MAT 2:22,"['n40002022016', 'n40002022018', 'n40002022019']"
MAT 2:23,['n40002023002']
MAT 3:7,"['n40003007001', 'n40003007003', 'n40003007004', 'n40003007005', 'n40003007006', 'n40003007007', 'n40003007008', 'n40003007009', 'n40003007010', 'n40003007011', 'n40003007012']"
MAT 3:15,['n40003015001']
MAT 3:16,['n40003016001']
MAT 4:2,"['n40004002002', 'n40004002003', 'n40004002004', 'n40004002005', 'n40004002006', 'n40004002007']"
MAT 4:3,['n40004003002']
MAT 4:4,['n40004004003']
MAT 4:9,['n40004009009']
MAT 4:12,"['n40004012001', 'n40004012003', 'n40004012004', 'n40004012005']"
MAT 4:13,['n40004013005']
MAT 4:13,"['n40004013002', 'n40004013003', 'n40004013004']"
MAT 4:18,"['n40004018001', 'n40004018003', 'n40004018004', 'n40004018005', 'n40004018006', 'n40004018007']"
MAT 4:20,"['n40004020004', 'n40004020005', 'n40004020006']"
MAT 4:21,"['n40004021002', 'n40004021003']"
MAT 4:22,"['n40004022004', 'n40004022005', 'n40004022006', 'n40004022007', 'n40004022008', 'n40004022009', 'n40004022010']"
MAT 5:1,"['n40005001001', 'n40005001003', 'n40005001004']"
MAT 5:2,"['n40005002002', 'n40005002003', 'n40005002004', 'n40005002005']"
MAT 5:13,"['n40005013021', 'n40005013022']"
MAT 5:24,['n40005024018']
MAT 5:46,"['n40005046001', 'n40005046003', 'n40005046004', 'n40005046005', 'n40005046006']"
MAT 6:5,"['n40006005011', 'n40006005012', 'n40006005013', 'n40006005014', 'n40006005015', 'n40006005016', 'n40006005017', 'n40006005018', 'n40006005019', 'n40006005020']"
MAT 6:6,"['n40006006011', 'n40006006012', 'n40006006013', 'n40006006014']"
MAT 6:7,['n40006007001']
MAT 6:17,['n40006017003']
MAT 6:27,['n40006027005']
MAT 6:30,"['n40006030007', 'n40006030008', 'n40006030009', 'n40006030010', 'n40006030011', 'n40006030012', 'n40006030013']"
MAT 7:6,['n40007006023']
MAT 7:11,"['n40007011004', 'n40007011005']"
MAT 7:11,"['n40007011001', 'n40007011003', 'n40007011004', 'n40007011005', 'n40007011006', 'n40007011007', 'n40007011008', 'n40007011009', 'n40007011010', 'n40007011011', 'n40007011012']"
MAT 8:2,['n40008002004']
MAT 8:3,"['n40008003002', 'n40008003003', 'n40008003004']"
MAT 8:7,['n40008007005']
MAT 8:8,['n40008008002']
MAT 8:10,['n40008010001']
MAT 8:14,"['n40008014002', 'n40008014005', 'n40008014006', 'n40008014007', 'n40008014008']"
MAT 8:18,"['n40008018001', 'n40008018005', 'n40008018006', 'n40008018007', 'n40008018008']"
MAT 8:19,['n40008019002']
MAT 8:25,['n40008025002']
MAT 8:26,['n40008026009']
MAT 8:32,['n40008032007']
MAT 8:33,"['n40008033006', 'n40008033007', 'n40008033008', 'n40008033009']"
MAT 8:34,['n40008034012']
MAT 9:1,"['n40009001002', 'n40009001003', 'n40009001004']"
MAT 9:2,"['n40009002010', 'n40009002013', 'n40009002014', 'n40009002015']"
MAT 9:4,"['n40009004002', 'n40009004005', 'n40009004006', 'n40009004007']"
MAT 9:6,['n40009006020']
MAT 9:7,['n40009007002']
MAT 9:8,['n40009008001']
MAT 9:9,"['n40009009002', 'n40009009005']"
MAT 9:9,['n40009009020']
MAT 9:10,['n40009010014']
MAT 9:11,['n40009011002']
MAT 9:12,['n40009012003']
MAT 9:13,['n40009013001']
MAT 9:18,['n40009018008']
MAT 9:18,['n40009018019']
MAT 9:19,['n40009019002']
MAT 9:20,"['n40009020007', 'n40009020008']"
MAT 9:22,"['n40009022004', 'n40009022005', 'n40009022006', 'n40009022007']"
MAT 9:23,"['n40009023002', 'n40009023005', 'n40009023006', 'n40009023007', 'n40009023008', 'n40009023009', 'n40009023010', 'n40009023011', 'n40009023012', 'n40009023013', 'n40009023014', 'n40009023015', 'n40009023016', 'n40009023017']"
MAT 9:25,['n40009025006']
MAT 9:31,['n40009031003']
MAT 9:36,"['n40009036001', 'n40009036003', 'n40009036004']"
MAT 10:1,"['n40010001002', 'n40010001003', 'n40010001004', 'n40010001005', 'n40010001006']"
MAT 10:7,['n40010007001']
MAT 10:12,"['n40010012001', 'n40010012003', 'n40010012004', 'n40010012005']"
MAT 10:14,"['n40010014012', 'n40010014013', 'n40010014014', 'n40010014015', 'n40010014016', 'n40010014017', 'n40010014018', 'n40010014019']"
